RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
W,ACYM,AAAO062C,62C,Bangor-Cemaes,21/05/2017
W,ACYM,ACAO004A,4A,Bangor-HolyheadviaLlangefni,21/05/2017
W,ACYM,ACAO005S,5S,Bangor-Caernarfon,01/04/2012
W,ACYM,ACAO012A,12A,Wrexham-Brymbo,08/11/2015
W,ACYM,ACAO067A,67A,Bangor-GerlanviaBethesda,21/05/2017
W,ACYM,ACAO078,78,BangorBusStation-MaesgeirchenCircular,21/05/2017
W,ACYM,ACAO541,541,ColegMenai-ParcMenai,21/05/2017
W,1CTL,CMBL026,L26,Dafen-YsgolStrade,02/09/2014
W,ACYM,ACAO006B,6B,Bangor-Gerlan,22/05/2011
W,ACYM,ACAO023,23,OldColwyn-OldColwynviaBrynCadnoCommunityCentre,21/05/2017
W,ACYM,ACAO044A,44A,Bangor-Holyhead,03/07/2016
W,ACYM,ACAO067B,67B,Gerlan-BangorviaBethesda,21/05/2017
W,ACYM,ACAO067C,67C,Bangor-GerlanviaBethesda,21/05/2017
W,ACYM,ACAO078A,78A,BangorBusStation-Maesgeirchen,08/10/2017
W,ACYM,ACDO014,14,WrexhamBusStation-Brymbo,24/04/2016
W,ACYM,ADAO011X,11X,Rhyl-Holywell,28/05/2017
W,ACYM,ANAO024,24,Holyhead-HolyheadviaMorawelon,21/05/2017
W,ACYM,DGAO051S,51S,Rhyl-Denbigh,03/09/2017
W,ACYM,FLAX004,X4,Chester-Mold,05/06/2017
W,ACYM,GYCO075,75,Maesgeirchen-ParcMenai,21/05/2017
W,ACYM,MGAO084A,84A,Rhyl-RhylCircular,26/03/2017
W,ACYM,MGYO003,3,Pwllheli-Porthmadog,01/11/2015
W,ACYM,WRAO011A,11A,Wrexham-Minerva,25/06/2017
W,AMID,WRCO002,2,Wrexham-OswestryviaLodgevale,14/08/2014
W,ANSL,GWAO046,46,Abergavenny-AbergavennyviaKnollEstate,04/09/2015
W,ANSL,MGAW004,W4,MonmouthBusStation-MonmouthBusStationviaOsbaston,29/03/2016
W,BERW,GYBO017B,17B,Pwllheli-Aberdaron,21/08/2013
W,CBUS,CBAM002A,M2A,AlbanyRoad-CardiffMETLlandaff,17/09/2017
W,CBUS,CBAO063,63,Cardiff-RadyrandMorganstown,03/09/2017
W,CBUS,CBAO092,92,Cardiff-Barry,03/09/2017
W,CBUS,CBAO092B,92B,Cardiff-Barry,03/09/2017
W,CBUS,CBAO093S,93S,Cardiff-StCyresSchoolviaFerryRoad,01/05/2017
W,CBUS,CBAO095B,95B,Cardiff-Penarth(Circular),04/06/2017
W,CBUS,CBBO100,100,MerthyrDyfan-HighlightParkviaBarry,09/04/2017
W,CBUS,CBKO044,44,CardiffCityCentre-StMellons,05/06/2017
W,CBUS,MGZO030,30,Newport-Cardiff,01/05/2017
W,CCCL,CWAO077,77,Rowen-Conwy,12/02/2015
W,CELT,PWBX047,X47,LlandrindodWells-LlanidloesviaRhayader,27/05/2017
W,CLTR,ANAO389A,389A,Dwyran-YsgolDavidHughes,04/07/2014
W,ACYM,ACAO004,4,Holyhead-BangorviaLlangefni,21/05/2017
W,ACYM,ACAO005C,5C,Bangor-Caernarfon,21/05/2017
W,ACYM,ACAO007,7,Wrexham-WrexhamviaQueensPark,08/11/2015
W,ACYM,ACAX004,X4,Bangor-HolyheadviaLlangefni,21/05/2017
W,ACYM,ACBO005B,5B,Bangor-Caernarfon,21/05/2017
W,ACYM,ACBO014A,14A,Wrexham-Brymbo,27/09/2013
W,ACYM,ACCO021A,21A,WrexhamBusStation-SummerHillCircular,25/06/2017
W,ACYM,ANAO058,58,Bangor-Glanrafon,30/10/2016
W,ACYM,ANAO058,58,Bangor-Glanrafon,08/10/2017
W,ACYM,AWAO001,1,Wrexham-Chester,25/06/2017
W,ACYM,DGAO051,51,Rhyl-Denbigh,03/09/2017
W,ACYM,FLAO003A,3A,Chester-Mold,05/06/2017
W,ACYM,MGZO084,84,Rhyl-RhylCircular,26/03/2017
W,ACYM,WRAO004,4,Wrexham-WrexhamviaAfoneitha,25/06/2017
W,ACYM,WREO010,10,Wrexham-Minera,15/10/2013
W,BERW,GYCO023,23,Pwllheli-PwllheliviaYsgolCymerau,16/10/2014
W,CACB,CBAO065,65,"CardiffCityCentre-St.MellonsviaFairwater,Whitchurch,HeathHospital,Llanrumney",05/06/2017
W,CACH,SMASC01,SC1,Barry-Penarth,05/09/2016
W,CATC,GYCO099A,99A,Croesor-Porthmadog,01/12/2011
W,CBUS,CBAO028A,28A,"CardiffCityCentre-CardiffCityCentreCircularviaFishguardRd,Thornhill,FidlasRd",05/06/2017
W,CBUS,CBAO041,41,Pontprennau-CardiffandtheValeCollege,02/08/2015
W,CBUS,CBAO052,52,Cardiff-Cyncoed,17/09/2017
W,CBUS,CBAO614,614,Broadway-St.Teilo'sHighSchool,05/04/2015
W,CBUS,CBAO615,615,Roath-YsgolGlantafviaHeath,05/04/2015
W,CBUS,CBFO017,17,"CardiffCityCentre-CardiffCityCentreviaCanton,HeolTrelai,GrandAvenue",05/06/2017
W,CBUS,CBIO057,57,"CardiffCityCentre-PontprennauviaAlbanyRoad,Llanedeyrn,Hollybush,Pentwyn",05/06/2017
W,CBUS,CBJO023,23,Cardiff-Cardiff,03/09/2017
W,CBUS,CBKO049,49,Cardiff-Llanrumney,03/09/2017
W,CELT,PWAX011,X11,BuilthWells-Ludlow,31/07/2017
W,CELT,PWAX014,X14,BuilthWells-CarmarthenviaLlanwrtydWells,31/07/2017
W,CELT,PWAX075,X75,"Llanidloes-ShrewsburyviaNewtown,Welshpool",22/05/2014
W,CLTR,ANAO466,466,Glanrafon-YsgolDavisHughes,04/07/2014
W,CON2,CPAC001,C1,"NelsonBusStation-Coop(Nelson)viaAvrilEstate,GreenacreEstate",26/05/2015
W,CRTX,PWAT049,T49,Llanbedr-Crickhowell,09/08/2010
W,DCOL,CMAA012,A12,GlanamanSquare-AmmanfordBusStation,02/09/2015
W,DJNS,WRAO010,10,Wrexham-GwynfrynviaBwlchgwyn,31/07/2011
W,DVPA,NPBO161,161,Neath-MinyrAwel,12/09/2016
W,DVPA,SWEO142,142,Morriston-Garnswllt,03/01/2017
W,EAPE,SMAO032A,32A,Cardiff-StFagans,04/09/2017
W,EBRO,PBAO308,308,"HaverfordwestBusStation-HaverfordwestBusStationviaLlangwm,Burton",01/04/2017
W,EBRO,PBBO315,315,Haverfordwest-MarloesviaMilfordHaven,06/04/2015
W,EFCO,ANBO043,43,Llanfairpwll-BangorviaYsbytyGwynedd,12/09/2014
W,EFCO,ANCO045,45,Llangefni-Rhosneigr,12/11/2013
W,EFCO,ANCO048,48,Llangefni-Llangefni,03/09/2012
W,EXMO,GYAS006,S6,Bangor-BetwsyCoedviaBethesda,14/04/2017
W,EXMO,GYCO001C,1C,BroSilyn-Caernarfon,03/04/2016
W,FCAL,MGAX075,X75,Resolven-MerthyrTydfil,01/12/2014
