RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
NE,ANE,NE_076_PB2087_13B,13B,"				CrownStreetStD,Darlington - GenevaRd/GenevaRdPostOffice(Out),Lascelles
			",21/05/2017
NE,AFT,NE_410_AFT_T503,T503,"				BoldonCollieryS(16935),BoldonColliery - KeppelStreet - Stop14,SouthShields(centre)
			",21/05/2017
NE,ANE,NE_076_PB2087_12,12,"				SandersonRd/TheBirches,Hurworth - MiddletonLane/DinsdaleStation(In),MiddletonStGeorge
			",28/12/2016
NE,ANE,NE_076_PB2087_3A,3A,"
				NorthRd/HarrowgateHillRoundabout,HarrowgateHill - ColeridgeGardens/SkerneParkPostOffice,SkernePark
			",27/05/2017
NE,ALN,NE_410_PA0110_S819,S819,"
				Interchange - StdF,Heworth - StJoseph'sRcComp,Hebburn
			",03/09/2017
NE,ALN,NE_410_PA0110_S874,S874,"
				LordLawsonOfBeamishComp,Birtley - TheCrescent,Kibblesworth
			",03/09/2017
NE,ANE,NE_130_PB2717_22,22,"
				BusStationstandD,Durham - Interchange - StdB,Sunderland(citycentre)
			",01/05/2017
NE,ANE,NE_130_PB2717_49A,49A,"
				BusStationstandF,Durham - GroveRd(MurrayChapel)SW/B,Brandon
			",11/09/2016
NE,ANE,NE_130_PB2717_7,7,"
				TubwellRowStandH,Darlington - BusStationstandK,Durham
			",21/05/2017
NE,ANE,NE_130_PB2717_853,853,"
				HareandGreyhoundS/B,Bowburn - JohnstonSchoolBusParkN/B,CrossgateMoor
			",04/09/2016
NE,ALN,NE_410_PA0110_S881,S881,"
				StEdmundCampionComp,Wrekenton - SainsburysW,TeamValley
			",03/09/2017
NE,ANE,NE_076_PB2087_4,4,"
				NorthgatestandB,Darlington - WarwickSquare/MinorsCrescent,Darlington
			",28/12/2016
NE,ANE,NE_076_PB2087_X67,X67,"
				TubwellRowStandL,Darlington - BusStationStand11,Middlesbrough
			",21/05/2017
NE,ANE,NE_130_PB2717_5A,5A,"
				BusStationStandE,BishopAuckland - TubwellRowStandH,Darlington
			",21/05/2017
NE,ANE,NE_130_PB2717_8,8,"
				TubwellRowStandH,Darlington - HighStreetstandC,Spennymoor
			",15/05/2016
NE,ANE,NE_130_PB2717_ED2,ED2,"
				Broadway31h06,Houghton - le - Spring - BurnhopeWay/NevilleRdSE/B,Peterlee
			",04/07/2016
